placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord4_xor_bg,col-rank-row-bg-bank,locality,locality,0.0009,0.9991,0.8849,0.0,0.0,0.0081,0.07520531896082883,0.17345985126247515,3.95545,32
ord4_xor_bank,col-rank-row-bg-bank,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_xor_bank,col-rank-row-bg-bank,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_xor_bank,col-rank-row-bg-bank,random,random,0.0,1.0,0.03305,0.0,0.0,0.0093,0.018041064270158787,0.039650472884948045,20.4355,32
ord4_xor_bank,col-rank-row-bg-bank,locality,locality,0.0009,0.9991,0.89585,0.0,0.0,0.0081,0.07916185950317235,0.1637080327900864,3.83855,32
ord5_direct,col-rank-row-bank-bg,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_direct,col-rank-row-bank-bg,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_direct,col-rank-row-bank-bg,random,random,0.0,1.0,0.0298,0.0,0.0,0.0093,0.027240411156955763,0.043185182644050496,20.39905,32
ord5_direct,col-rank-row-bank-bg,locality,locality,0.0008,0.9992,0.9029,0.0,0.0,0.0081,0.08174325660260912,0.18612769809998728,3.79805,32
ord5_xor_rank,col-rank-row-bank-bg,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_xor_rank,col-rank-row-bank-bg,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_xor_rank,col-rank-row-bank-bg,random,random,0.0,1.0,0.0298,0.0,0.0,0.0045,0.027240411156955763,0.043185182644050496,20.39905,32
ord5_xor_rank,col-rank-row-bank-bg,locality,locality,0.0008,0.9992,0.9029,0.0,0.0,0.0006,0.08174325660260912,0.18612769809998728,3.79805,32
ord5_xor_bank,col-rank-row-bank-bg,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_xor_bank,col-rank-row-bank-bg,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_xor_bank,col-rank-row-bank-bg,random,random,0.0,1.0,0.029,0.0,0.0,0.0093,0.027240411156955763,0.044452221541785734,20.3897,32
ord5_xor_bank,col-rank-row-bank-bg,locality,locality,0.0009,0.9991,0.89725,0.0,0.0,0.0081,0.08174325660260912,0.18510364664155052,3.82615,32
ord5_xor_bg,col-rank-row-bank-bg,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_xor_bg,col-rank-row-bank-bg,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord5_xor_bg,col-rank-row-bank-bg,random,random,0.0,1.0,0.0335,0.0,0.0,0.0093,0.016090991268408544,0.03795154805801734,20.41285,32
ord5_xor_bg,col-rank-row-bank-bg,locality,locality,0.0009,0.9991,0.88475,0.0,0.0,0.0081,0.06435153455823722,0.17104198315033653,3.92845,32
ord6_direct,col-bg-rank-bank-row,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,0.021540659228538015,2.9358,32
ord6_direct,col-bg-rank-bank-row,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,0.0027712812921102037,8.36915,32
ord6_direct,col-bg-rank-bank-row,random,random,0.0,1.0,0.03145,0.0,0.0,0.0024,0.019326665516844855,0.03624582734605461,20.44795,32
ord6_direct,col-bg-rank-bank-row,locality,locality,0.00625,0.99375,0.02985,0.0,0.0,0.0099,0.016712869292853337,0.03798947222586805,20.4062,32
ord6_xor_bg,col-bg-rank-bank-row,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,0.021540659228538015,2.9358,32
ord6_xor_bg,col-bg-rank-bank-row,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,0.0027712812921102037,8.36915,32
ord6_xor_bg,col-bg-rank-bank-row,random,random,0.0,1.0,0.0299,0.0,0.0,0.0024,0.02613426869074396,0.042846703490467035,20.4725,32
ord6_xor_bg,col-bg-rank-bank-row,locality,locality,0.00625,0.99375,0.02935,0.0,0.0,0.0099,0.022987822863420538,0.03857460304397182,20.33245,32
ord6_xor_rank,col-bg-rank-bank-row,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,0.021540659228538015,2.9358,32
ord6_xor_rank,col-bg-rank-bank-row,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,0.0027712812921102037,8.36915,32
ord6_xor_rank,col-bg-rank-bank-row,random,random,0.0,1.0,0.03145,0.0,0.0,0.0035,0.019326665516844855,0.03624582734605461,20.44795,32
ord6_xor_rank,col-bg-rank-bank-row,locality,locality,0.00625,0.99375,0.02985,0.0,0.0,0.002,0.016712869292853337,0.03798947222586805,20.4062,32
ord6_xor_bank,col-bg-rank-bank-row,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,0.021540659228538015,2.9358,32
ord6_xor_bank,col-bg-rank-bank-row,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,0.0027712812921102037,8.36915,32
ord6_xor_bank,col-bg-rank-bank-row,random,random,0.0,1.0,0.0314,0.0,0.0,0.0024,0.019326665516844855,0.03872157021609532,20.37655,32
ord6_xor_bank,col-bg-rank-bank-row,locality,locality,0.0063,0.9937,0.0306,0.0,0.0,0.0099,0.016712869292853337,0.038970758268219524,20.3177,32
ord7_direct,col-bg-rank-row-bank,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,1.7320569043769893,2.9358,32
ord7_direct,col-bg-rank-row-bank,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,1.7320508075688772,7.99475,32
ord7_direct,col-bg-rank-row-bank,random,random,0.0,1.0,0.03135,0.0,0.0,0.0024,0.019326665516844855,0.03885357126442819,20.4415,32
ord7_direct,col-bg-rank-row-bank,locality,locality,0.0037,0.9963,0.1139,0.0,0.0,0.0099,0.016712869292853337,0.06408244689460602,14.1816,32
ord7_xor_bg,col-bg-rank-row-bank,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,1.7320569043769893,2.9358,32
ord7_xor_bg,col-bg-rank-row-bank,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,1.7320508075688772,7.99475,32
ord7_xor_bg,col-bg-rank-row-bank,random,random,0.0,1.0,0.0313,0.0,0.0,0.0024,0.021734764779035454,0.039731096133884855,20.313,32
ord7_xor_bg,col-bg-rank-row-bank,locality,locality,0.00375,0.99625,0.1135,0.0,0.0,0.0099,0.017009409160814493,0.0597715651459789,14.19795,32
ord7_xor_rank,col-bg-rank-row-bank,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,1.7320569043769893,2.9358,32
ord7_xor_rank,col-bg-rank-row-bank,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,1.7320508075688772,7.99475,32
